date,signal_asof_date,symbol,trade_value,commission,slippage,total_cost,target_weight
2016-02-01,2016-01-29,AAPL,20000.0,10.0,10.0,20.0,0.2
2016-02-01,2016-01-29,MSFT,20000.0,10.0,10.0,20.0,0.2
2016-02-01,2016-01-29,AMZN,20000.0,10.0,10.0,20.0,0.2
2016-02-01,2016-01-29,META,20000.0,10.0,10.0,20.0,0.2
2016-02-01,2016-01-29,XLV,19999.999999999996,9.999999999999998,9.999999999999998,19.999999999999996,0.19999999999999996
2016-03-01,2016-02-29,MSFT,-21094.23728110551,10.547118640552755,10.547118640552755,21.09423728110551,0.0
2016-03-01,2016-02-29,NVDA,21094.23728110551,10.547118640552755,10.547118640552755,21.09423728110551,0.2
2016-04-01,2016-03-31,MSFT,21195.674319857735,10.597837159928869,10.597837159928869,21.195674319857737,0.2
2016-04-01,2016-03-31,XLV,-21195.67431985773,10.597837159928867,10.597837159928867,21.195674319857734,0.0
2016-05-02,2016-04-29,MSFT,-20701.23534145435,10.350617670727175,10.350617670727175,20.70123534145435,0.0
2016-05-02,2016-04-29,XLV,20701.235341454347,10.350617670727173,10.350617670727173,20.701235341454346,0.19999999999999996
2016-06-01,2016-05-31,MSFT,21639.36758227392,10.81968379113696,10.81968379113696,21.63936758227392,0.2
2016-06-01,2016-05-31,NVDA,-21639.36758227392,10.81968379113696,10.81968379113696,21.63936758227392,0.0
2016-07-01,2016-06-30,AAPL,-21982.513065989162,10.991256532994582,10.991256532994582,21.982513065989163,0.0
2016-07-01,2016-06-30,JPM,21982.513065989162,10.991256532994582,10.991256532994582,21.982513065989163,0.2
2016-08-01,2016-07-29,AAPL,22360.744513980226,11.180372256990113,11.180372256990113,22.360744513980226,0.2
2016-08-01,2016-07-29,META,-22360.744513980226,11.180372256990113,11.180372256990113,22.360744513980226,0.0
2016-09-01,2016-08-31,AAPL,-21774.767740718078,10.88738387035904,10.88738387035904,21.77476774071808,0.0
2016-09-01,2016-08-31,META,21774.767740718078,10.88738387035904,10.88738387035904,21.77476774071808,0.2
2016-09-01,2016-08-31,GOOGL,21774.767740718078,10.88738387035904,10.88738387035904,21.77476774071808,0.2
2016-09-01,2016-08-31,JPM,-21774.767740718078,10.88738387035904,10.88738387035904,21.77476774071808,0.0
2016-10-03,2016-09-30,NVDA,23028.7776241001,11.51438881205005,11.51438881205005,23.0287776241001,0.2
2016-10-03,2016-09-30,META,-23028.7776241001,11.51438881205005,11.51438881205005,23.0287776241001,0.0
2016-11-01,2016-10-31,AAPL,22489.58643895897,11.244793219479485,11.244793219479485,22.48958643895897,0.2
2016-11-01,2016-10-31,GOOGL,-22489.58643895897,11.244793219479485,11.244793219479485,22.48958643895897,0.0
2016-12-01,2016-11-30,MSFT,-22000.126244713472,11.000063122356737,11.000063122356737,22.000126244713474,0.0
2016-12-01,2016-11-30,GOOGL,22000.126244713472,11.000063122356737,11.000063122356737,22.000126244713474,0.2
2017-01-02,2016-12-30,AAPL,-11244.363762260224,5.622181881130112,5.622181881130112,11.244363762260225,0.1
2017-01-02,2016-12-30,MSFT,11244.363762260224,5.622181881130112,5.622181881130112,11.244363762260225,0.1
2017-01-02,2016-12-30,NVDA,-22488.727524520447,11.244363762260225,11.244363762260225,22.48872752452045,0.0
2017-01-02,2016-12-30,AMZN,-11244.363762260224,5.622181881130112,5.622181881130112,11.244363762260225,0.1
2017-01-02,2016-12-30,GOOGL,-11244.363762260224,5.622181881130112,5.622181881130112,11.244363762260225,0.1
2017-01-02,2016-12-30,XLV,-11244.36376226022,5.6221818811301105,5.6221818811301105,11.244363762260221,0.09999999999999998
2017-02-01,2017-01-31,AAPL,-11213.846957990374,5.606923478995187,5.606923478995187,11.213846957990373,0.0
2017-02-01,2017-01-31,JPM,11213.846957990374,5.606923478995187,5.606923478995187,11.213846957990373,0.1
2017-04-03,2017-03-31,AAPL,11322.368863015607,5.661184431507803,5.661184431507803,11.322368863015607,0.1
2017-04-03,2017-03-31,MSFT,-11322.368863015607,5.661184431507803,5.661184431507803,11.322368863015607,0.0
2017-05-01,2017-04-28,AAPL,10981.34116999529,5.490670584997646,5.490670584997646,10.981341169995291,0.2
2017-05-01,2017-04-28,AMZN,10981.34116999529,5.490670584997646,5.490670584997646,10.981341169995291,0.2
2017-05-01,2017-04-28,GOOGL,10981.34116999529,5.490670584997646,5.490670584997646,10.981341169995291,0.2
2017-05-01,2017-04-28,JPM,10981.341169995287,5.490670584997644,5.490670584997644,10.981341169995288,0.19999999999999998
2017-05-01,2017-04-28,XLV,10981.341169995292,5.4906705849976465,5.4906705849976465,10.981341169995293,0.2
2017-06-01,2017-05-31,AAPL,-16751.4305569007,8.37571527845035,8.37571527845035,16.7514305569007,0.05
2017-06-01,2017-05-31,AMZN,-16751.4305569007,8.37571527845035,8.37571527845035,16.7514305569007,0.05
2017-06-01,2017-05-31,GOOGL,-16751.4305569007,8.37571527845035,8.37571527845035,16.7514305569007,0.05
2017-06-01,2017-05-31,JPM,-16751.430556900697,8.375715278450349,8.375715278450349,16.751430556900697,0.04999999999999998
2017-06-01,2017-05-31,XLV,-16751.4305569007,8.37571527845035,8.37571527845035,16.7514305569007,0.05
2017-07-03,2017-06-30,META,5570.490512955685,2.7852452564778423,2.7852452564778423,5.5704905129556845,0.05
2017-07-03,2017-06-30,JPM,-5570.490512955683,2.7852452564778414,2.7852452564778414,5.570490512955683,0.0
2017-08-01,2017-07-31,MSFT,5628.382098978793,2.8141910494893962,2.8141910494893962,5.6283820989787925,0.05
2017-08-01,2017-07-31,META,-5628.382098978793,2.8141910494893962,2.8141910494893962,5.6283820989787925,0.0
2017-08-01,2017-07-31,GOOGL,-5628.382098978792,2.814191049489396,2.814191049489396,5.628382098978792,0.0
2017-08-01,2017-07-31,JPM,5628.382098978792,2.814191049489396,2.814191049489396,5.628382098978792,0.04999999999999999
2017-09-01,2017-08-31,MSFT,-5554.786436082258,2.777393218041129,2.777393218041129,5.554786436082258,0.0
2017-09-01,2017-08-31,META,5554.786436082258,2.777393218041129,2.777393218041129,5.554786436082258,0.05
2017-10-02,2017-09-29,MSFT,5580.287503994015,2.790143751997008,2.790143751997008,5.580287503994016,0.05
2017-10-02,2017-09-29,META,-5580.287503994015,2.790143751997008,2.790143751997008,5.580287503994016,0.0
2017-11-01,2017-10-31,AAPL,-5632.293188067347,2.8161465940336736,2.8161465940336736,5.632293188067347,0.0
2017-11-01,2017-10-31,MSFT,16896.879564202045,8.448439782101023,8.448439782101023,16.896879564202045,0.2
2017-11-01,2017-10-31,AMZN,16896.879564202045,8.448439782101023,8.448439782101023,16.896879564202045,0.2
2017-11-01,2017-10-31,GOOGL,22529.172752269395,11.264586376134698,11.264586376134698,22.529172752269396,0.2
2017-11-01,2017-10-31,JPM,16896.879564202045,8.448439782101023,8.448439782101023,16.896879564202045,0.2
2017-11-01,2017-10-31,XLV,16896.87956420204,8.44843978210102,8.44843978210102,16.89687956420204,0.19999999999999996
2018-01-01,2017-12-29,AAPL,22537.36869728603,11.268684348643015,11.268684348643015,22.53736869728603,0.2
